ID,AFFECTED_VERSION,CNNVD_ID,CVE_ID,PATCHES,PATCHES_LINKS,TITLE,LEVEL,vun_type,URL,Update_Time
11,Redislabs Redis:3.2.6 Redislabs Redis:3.2.5 Redislabs Redis:3.2.4 Redislabs Redis:3.2.3 Redislabs Redis:3.2.2 ,CNNVD-201710-1131,CVE-2016-10517,Redis 跨站脚本漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=75966 ,Redis 跨站脚本漏洞,中危,Redis,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201710-1131,2017-10-31
12,Pivotal_software Redis:4.0.2 Redislabs Redis:4.0.2 ,CNNVD-201710-360,CVE-2017-15047,Redis 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=75474 ,Redis 安全漏洞,高危,Redis,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201710-360,2017-10-16
13,Redhat Openstack:10 ,CNNVD-201611-118,CVE-2016-2121,Redis 信息泄露漏洞的修复措施 Redis 信息泄露漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=65343 http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=65490 ,Redis 信息泄露漏洞,,Redis,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201611-118,2019-03-04
14,Pivotal_software Redis:3.2.2 Pivotal_software Redis:3.2.3 Pivotal_software Redis:3.2.1 Pivotal_software Redis:3.2.0 Redislabs Redis:3.2.3 ,CNNVD-201610-857,CVE-2016-8339,Redis 缓冲区溢出漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=65179 ,Redis 缓冲区溢出漏洞,高危,Redis,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201610-857,2016-10-31
15,Apple Mac_os_x:10.11.6 ,CNNVD-201609-439,CVE-2016-4713,Apple OS X CoreDisplay 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=64317 ,Apple OS X CoreDisplay 安全漏洞,中危,Redis,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201609-439,2016-09-26
16,Debian Debian_linux:8.0 ,CNNVD-201607-1085,CVE-2013-7458,Redis redis-cli 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=63385 ,Redis linenoise 安全漏洞,低危,Redis,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201607-1085,2016-08-11
17,null,CNNVD-201511-230,,,,Redis 未授权访问漏洞,  ,Redis,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201511-230,2015-11-13
18,Pivotal_software Redis:2.8.23 Pivotal_software Redis:3.0.2 Pivotal_software Redis:3.0.3 Pivotal_software Redis:3.0.0 Pivotal_software Redis:3.0.5 ,CNNVD-201511-360,CVE-2015-8080,Redis 整数溢出漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=58830 ,Redis 整数溢出漏洞,中危,Redis,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201511-360,2016-04-14
19,Pivotal_software Redis:3.0.1 Pivotal_software Redis:3.0.0 Pivotal_software Redis:2.8.20 Debian Debian_linux:9.0 Debian Debian_linux:8.0 ,CNNVD-201506-128,CVE-2015-4335,redis-2.8.1 redis-3.0.2 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=56170 http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=56171 ,Redis 安全漏洞,超危,Redis,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201506-128,2015-06-10
20,null,CNNVD-201301-265,CVE-2013-0180,,,Redis 重写任意文件漏洞,中危,Redis,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201301-265,2013-01-17
21,null,CNNVD-201301-264,CVE-2013-0178,,,Redis 不安全临时文件漏洞,中危,Redis,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201301-264,2013-01-17
22,Symantec_veritas Netbackup_puredisk_remote_office_edition:6.0 ,CNNVD-200608-305,CVE-2006-4228,,,Symantec Veritas NetBackup PureDisk管理界面安全绕过漏洞,超危,Redis,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-200608-305,2006-08-21
23,Picturedis Picturedis_professional:1.33_build_234 Picturedis Picturedis_photoalbum:4.82 ,CNNVD-200606-347,CVE-2006-3075,,,PictureDis Professional/PictureDis Photoalbum  多个PHP远程文件包含漏洞,高危,Redis,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-200606-347,2006-08-17
